Problem     grid    deltat  T       start       N       e_dd    a_s         x_c     sigma_x     omega_t
1           1000     1e-3    1e-0    -30.       1000    1       0.003       0       5           1.
2           1000     1e-3    1e-0    -30.       1000    1       0.003       0       5           1.5
3           1000     1e-3    1e-0    -30.       1000    1       0.003       0       5           2.
4           1000     1e-3    1e-0    -30.       1000    1       0.003       0       5           3.
5           1000     1e-3    1e-0    -30.       1000    1       0.003       0       5           4.
6           1000     1e-3    1e-0    -30.       1000    1       0.003       0       5           5.
7           1000     1e-3    1e-0    -30.       1000    1       0.003       0       5           6.
8           1000     1e-3    1e-0    -30.       1000    1       0.003       0       5           7.
9           1000     1e-3    1e-0    -30.       1000    1       0.003       0       5           8.
10          1000     1e-3    1e-0    -30.       1000    1       0.003       0       5           9.
11          1000     1e-3    1e-0    -30.       1000    1       0.003       0       5           10.
